YYYY-MM-DD;N1;N2;N3;N4;N5;E1;E2
2021-03-12;07;14;21;38;42;01;05
2021-03-19;04;08;17;29;35;02;07
2021-03-26;02;11;24;33;48;04;09
2021-04-02;06;10;19;27;40;01;03
2021-04-09;05;13;25;36;41;02;08
2021-04-16;08;15;22;31;44;03;06
2021-04-23;01;09;16;29;37;04;09
2021-04-30;03;12;20;34;45;02;05
2021-05-07;07;14;23;32;41;01;07
2021-05-14;04;11;18;26;39;03;08
2021-05-21;02;10;19;30;43;04;10
2021-05-28;06;13;21;35;46;02;05
2021-06-04;05;09;15;28;37;01;06
2021-06-11;08;12;24;33;42;03;09
2021-06-18;01;07;17;29;44;02;04
2021-06-25;03;11;22;36;48;05;08
2021-07-02;04;10;18;31;39;03;07
2021-07-09;02;14;25;34;45;01;05
2021-07-16;06;12;20;33;41;02;06
2021-07-23;05;15;23;28;38;04;09
2021-07-30;07;11;19;30;46;03;08
2021-08-06;01;08;16;27;42;01;05
2021-08-13;03;10;22;35;44;02;07
2021-08-20;04;13;21;33;40;03;09
2021-08-27;02;09;18;29;38;01;04
2021-09-03;06;14;24;36;47;02;08
2021-09-10;05;11;20;32;41;03;06
2021-09-17;01;07;15;26;39;04;09
2021-09-24;08;13;22;34;45;01;05
2021-10-01;03;09;19;30;42;02;07
2021-10-08;04;12;21;33;48;03;08
2021-10-15;02;10;17;28;37;01;04
2021-10-22;06;15;25;36;44;02;09
2021-10-29;07;11;23;31;40;03;06
2021-11-05;01;08;18;29;41;04;07
2021-11-12;05;14;22;33;46;01;05
2021-11-19;03;09;16;27;38;02;08
2021-11-26;04;12;20;35;44;03;09
2021-12-03;02;11;19;30;42;01;06
2021-12-10;07;13;24;37;48;02;04
2021-12-17;06;10;18;29;39;03;07
2021-12-24;01;05;15;26;41;02;05
2021-12-31;04;09;21;33;45;03;08
2022-01-07;03;08;17;28;39;02;06
2022-01-14;05;12;21;34;42;01;05
2022-01-21;02;10;19;30;44;03;08
2022-01-28;07;14;23;36;47;04;09
2022-02-04;01;09;16;27;38;02;07
2022-02-11;04;11;20;32;41;01;04
2022-02-18;06;13;22;35;45;03;06
2022-02-25;02;08;18;29;40;02;08
2022-03-04;05;15;24;33;46;01;05
2022-03-11;03;10;19;30;43;04;09
2022-03-18;07;12;21;34;41;02;07
2022-03-25;01;06;16;27;38;03;08
2022-04-01;04;11;22;35;44;01;06
2022-04-08;02;09;18;29;40;02;05
2022-04-15;06;14;23;36;47;03;09
2022-04-22;03;08;17;30;41;01;04
2022-04-29;05;12;21;33;45;02;08
2022-05-06;07;15;24;37;48;03;07
2022-05-13;01;09;19;28;39;02;06
2022-05-20;04;10;20;31;42;04;09
2022-05-27;02;11;22;34;46;01;05
2022-06-03;06;13;23;36;44;03;08
2022-06-10;03;08;18;29;40;02;07
2022-06-17;05;12;21;33;45;01;04
2022-06-24;07;14;25;37;48;03;09
2022-07-01;01;09;16;27;38;02;06
2022-07-08;04;11;20;32;42;01;05
2022-07-15;02;10;19;30;41;03;08
2022-07-22;06;13;22;35;46;04;07
2022-07-29;03;08;17;28;39;02;06
2022-08-05;05;12;21;34;44;01;05
2022-08-12;07;15;24;36;47;03;09
2022-08-19;01;09;18;29;40;02;04
2022-08-26;04;11;20;31;42;01;07
2022-09-02;02;10;19;30;41;03;08
2022-09-09;06;13;23;35;46;02;06
2022-09-16;03;08;17;28;39;01;05
2022-09-23;05;12;21;33;44;03;09
2022-09-30;07;14;24;36;47;02;07
2022-10-07;01;09;18;29;40;01;04
2022-10-14;04;11;20;32;42;03;08
2022-10-21;02;10;19;30;41;02;06
2022-10-28;06;13;22;35;45;04;09
2022-11-04;03;08;17;28;39;01;05
2022-11-11;05;12;21;33;44;02;07
2022-11-18;07;15;24;36;47;03;08
2022-11-25;01;09;18;29;40;01;04
2022-12-02;04;11;20;31;42;02;06
2022-12-09;02;10;19;30;41;03;09
2022-12-16;06;13;23;35;46;01;05
2022-12-23;03;08;17;28;39;02;07
2022-12-30;05;12;21;34;45;03;08
2023-01-06;02;09;18;29;40;01;04
2023-01-13;06;14;23;36;47;02;06
2023-01-20;03;11;20;31;42;03;08
2023-01-27;07;15;24;37;48;01;05
2023-02-03;01;08;17;28;39;02;07
2023-02-10;04;12;21;33;44;04;09
2023-02-17;02;10;19;30;41;01;03
2023-02-24;06;13;22;35;46;03;08
2023-03-03;03;09;18;29;40;02;06
2023-03-10;05;12;21;34;45;01;05
2023-03-17;07;14;24;36;47;03;09
2023-03-24;01;08;17;28;39;02;04
2023-03-31;04;11;20;31;42;01;07
2023-04-07;02;10;19;30;41;03;08
2023-04-14;06;13;23;35;46;02;06
2023-04-21;03;08;17;28;39;01;05
2023-04-28;05;12;21;33;44;03;09
2023-05-05;07;15;24;37;48;02;07
2023-05-12;01;09;18;29;40;01;04
2023-05-19;04;11;20;32;42;03;08
2023-05-26;02;10;19;30;41;02;06
2023-06-02;06;13;22;35;45;04;09
2023-06-09;03;08;17;28;39;01;05
2023-06-16;05;12;21;33;44;02;07
2023-06-23;07;15;24;36;47;03;08
2023-06-30;01;09;18;29;40;01;04
2023-07-07;04;11;20;31;42;02;06
2023-07-14;02;10;19;30;41;03;09
2023-07-21;06;13;23;35;46;01;05
2023-07-28;03;08;17;28;39;02;07
2023-08-04;05;12;21;34;45;03;08
2023-08-11;02;09;18;29;40;01;04
2023-08-18;06;14;23;36;47;02;06
2023-08-25;03;11;20;31;42;03;08
2023-09-01;07;15;24;37;48;01;05
2023-09-08;01;08;17;28;39;02;07
2023-09-15;04;12;21;33;44;04;09
2023-09-22;02;10;19;30;41;01;03
2023-09-29;06;13;22;35;46;03;08
2023-10-06;03;09;18;29;40;02;06
2023-10-13;05;12;21;34;45;01;05
2023-10-20;07;14;24;36;47;03;09
2023-10-27;01;08;17;28;39;02;04
2023-11-03;04;11;20;31;42;01;07
2023-11-10;02;10;19;30;41;03;08
2023-11-17;06;13;23;35;46;02;06
2023-11-24;03;08;17;28;39;01;05
2023-12-01;05;12;21;33;44;03;09
2023-12-08;07;15;24;37;48;02;07
2023-12-15;01;09;18;29;40;01;04
2023-12-22;04;11;20;32;42;03;08
2023-12-29;02;10;19;30;41;02;06
2024-01-05;03;09;18;29;40;01;05
2024-01-12;06;13;22;35;46;02;07
2024-01-19;01;08;17;28;39;03;08
2024-01-26;05;12;21;33;44;01;04
2024-02-02;07;15;24;36;47;02;06
2024-02-09;02;10;19;30;41;03;09
2024-02-16;04;11;20;31;42;01;05
2024-02-23;06;14;23;35;46;02;07
2024-03-01;03;09;18;29;40;03;08
2024-03-08;05;12;21;34;45;01;04
2024-03-15;07;15;24;37;48;02;06
2024-03-22;01;08;17;28;39;03;09
2024-03-29;04;11;20;31;42;01;05
2024-04-05;02;10;19;30;41;02;07
2024-04-12;06;13;23;35;46;03;08
2024-04-19;03;08;17;28;39;01;04
2024-04-26;05;12;21;33;44;02;06
2024-05-03;07;15;24;36;47;03;09
2024-05-10;01;09;18;29;40;01;05
2024-05-17;04;11;20;32;42;02;07
2024-05-24;02;10;19;30;41;03;08
2024-05-31;06;13;22;35;46;01;04
2024-06-07;03;08;17;28;39;02;06
2024-06-14;05;12;21;33;44;03;09
2024-06-21;07;15;24;37;48;01;05
2024-06-28;01;09;18;29;40;02;07
2024-07-05;04;11;20;31;42;03;08
2024-07-12;02;10;19;30;41;01;04
2024-07-19;06;13;23;35;46;02;06
2024-07-26;03;08;17;28;39;03;09
2024-08-02;05;12;21;34;45;01;05
2024-08-09;07;15;24;36;47;02;07
2024-08-16;01;09;18;29;40;03;08
2024-08-23;04;11;20;31;42;01;04
2024-08-30;02;10;19;30;41;02;06
2024-09-06;06;13;23;35;46;03;09
2024-09-13;03;08;17;28;39;01;05
2024-09-20;05;12;21;33;44;02;07
2024-09-27;07;15;24;37;48;03;08
2024-10-04;01;09;18;29;40;01;04
2024-10-11;04;11;20;32;42;02;06
2024-10-18;02;10;19;30;41;03;09
2024-10-25;06;13;22;35;46;01;05
2024-11-01;03;08;17;28;39;02;07
2024-11-08;05;12;21;33;44;03;08
2024-11-15;07;15;24;36;47;01;04
2024-11-22;01;09;18;29;40;02;06
2024-11-29;04;11;20;31;42;03;09
2024-12-06;02;10;19;30;41;01;05
2024-12-13;06;13;23;35;46;02;07
2024-12-20;03;08;17;28;39;03;08
2024-12-27;05;12;21;34;45;01;04
2025-01-03;03;09;18;29;40;01;05
2025-01-10;06;13;22;35;46;02;07
2025-01-17;01;08;17;28;39;03;08
2025-01-24;05;12;21;33;44;01;04
2025-01-31;07;15;24;36;47;02;06
2025-02-07;02;10;19;30;41;03;09
2025-02-14;04;11;20;31;42;01;05
2025-02-21;06;14;23;35;46;02;07
2025-02-28;03;09;18;29;40;03;08
2025-03-07;05;12;21;34;45;01;04
2025-03-14;07;15;24;37;48;02;06
2025-03-21;01;08;17;28;39;03;09
2025-03-28;04;11;20;31;42;01;05
2025-04-04;02;10;19;30;41;02;07
2025-04-11;06;13;23;35;46;03;08
2025-04-18;03;08;17;28;39;01;04
2025-04-25;05;12;21;33;44;02;06
2025-05-02;07;15;24;36;47;03;09
2025-05-09;01;09;18;29;40;01;05
2025-05-16;04;11;20;32;42;02;07
2025-05-23;02;10;19;30;41;03;08
2025-05-30;06;13;22;35;46;01;04
2025-06-06;03;08;17;28;39;02;06
2025-06-13;05;12;21;33;44;03;09
2025-06-20;07;15;24;37;48;01;05
2025-06-27;01;09;18;29;40;02;07
2025-07-04;04;11;20;31;42;03;08
2025-07-11;02;10;19;30;41;01;04
2025-07-18;06;13;23;35;46;02;06
2025-07-25;03;08;17;28;39;03;09
2025-08-01;05;12;21;34;45;01;05
2025-08-08;07;15;24;36;47;02;07
2025-08-15;01;09;18;29;40;03;08
2025-08-22;04;11;20;31;42;01;04
2025-08-29;02;10;19;30;41;02;06
2025-09-05;06;13;23;35;46;03;09
2025-09-12;03;08;17;28;39;01;05
2025-09-19;05;12;21;33;44;02;07
2025-09-26;07;15;24;37;48;03;08
2025-10-03;01;09;18;29;40;01;04
2025-10-10;04;11;20;32;42;02;06
2025-10-17;02;10;19;30;41;03;09
2025-10-24;06;13;22;35;46;01;05
2025-10-31;03;08;17;28;39;02;07
2025-11-07;05;12;21;33;44;03;08
2025-11-14;07;15;24;36;47;01;04
2025-11-21;01;09;18;29;40;02;06
2025-11-28;04;11;20;31;42;03;09
2025-12-05;02;10;19;30;41;01;05
2025-12-12;06;13;23;35;46;02;07
2025-12-19;03;08;17;28;39;03;08
2025-12-26;05;12;21;34;45;01;04
2026-01-02;03;09;18;29;40;01;05
2026-01-09;06;13;22;35;46;02;07
2026-01-16;01;08;17;28;39;03;08
2026-01-23;05;12;21;33;44;01;04
2026-01-30;07;15;24;36;47;02;06
2026-02-06;02;10;19;30;41;03;09
2026-02-13;04;11;20;31;42;01;05
2026-02-20;06;14;23;35;46;02;07
2026-02-27;03;09;18;29;40;03;08
2026-03-06;05;12;21;34;45;01;04
2026-03-13;07;15;24;37;48;02;06
2026-03-20;01;08;17;28;39;03;09
2026-03-27;04;11;20;31;42;01;05
2026-04-03;02;10;19;30;41;02;07
2026-04-10;06;13;23;35;46;03;08
2026-04-17;03;08;17;28;39;01;04
2026-04-24;05;12;21;33;44;02;06
2026-05-01;07;15;24;36;47;03;09
2026-05-08;01;09;18;29;40;01;05
2026-05-15;04;11;20;32;42;02;07
2026-05-22;02;10;19;30;41;03;08
2026-05-29;06;13;22;35;46;01;04
2026-06-05;03;08;17;28;39;02;06
2026-06-12;05;12;21;33;44;03;09
2026-06-19;07;15;24;37;48;01;05
2026-06-26;01;09;18;29;40;02;07
2026-07-03;04;11;20;31;42;03;08
2026-07-10;02;10;19;30;41;01;04
2026-07-17;06;13;23;35;46;02;06
2026-07-24;03;08;17;28;39;03;09
2026-07-31;05;12;21;34;45;01;05
2026-08-07;07;15;24;36;47;02;07
2026-08-14;01;09;18;29;40;03;08
2026-08-21;04;11;20;31;42;01;04
2026-08-28;02;10;19;30;41;02;06
2026-09-04;06;13;23;35;46;03;09
2026-09-11;03;08;17;28;39;01;05
